,DateTime,zenith,azimuth,Temperature,Temperature_cell
87,2014-02-05-07-55-00,80.828125,116.884766,1.3799744,6.762166586
88,2014-02-05-11-55-00,51.249023,172.24219,12.127686,41.211244
89,2014-02-05-15-55-00,71.95117,234.66406,16.765625,42.47262455
90,2014-02-06-09-10-00,67.78906,129.84766,6.659912,33.39056512
91,2014-02-06-13-10-00,51.94043,195.29297,16.719727,49.01085355
92,2014-02-06-17-10-00,85.140625,247.25,17.649902,33.18301564
93,2014-02-07-10-15-00,58.421875,143.9414,12.3498535,43.94737809
94,2014-02-07-14-15-00,57.149414,213.46094,19.369629,49.26410815
95,2014-02-08-07-20-00,86.83008,110.78906,3.5499878,11.85737831
96,2014-02-08-11-20-00,51.98242,161.39453,14.769775,42.80658923
97,2014-02-08-15-20-00,65.61719,228.53516,19.989746,40.95532467
98,2014-02-09-08-25-00,74.64844,120.84961,10.1032715,38.24866426
99,2014-02-09-12-25-00,49.65332,181.48047,16.77295,48.57514491
100,2014-02-09-16-25-00,76.23047,240.82031,19.76709,45.08816934
101,2014-02-10-09-30-00,63.759766,133.01953,11.97998,42.92161761
102,2014-02-10-13-30-00,51.996094,201.59766,17.516113,49.35017163
103,2014-02-10-17-30-00,88.16016,251.20312,18.149902,28.47452488
104,2014-02-11-10-35-00,55.01172,148.29297,5.789917,8.414376431
105,2014-02-11-14-35-00,58.442383,219.15625,7.9299316,11.7363599
106,2014-02-12-07-30-00,84.12891,111.24414,0.84999084,17.60512676
107,2014-02-12-11-30-00,50.112305,163.97656,8.379639,40.33988965
108,2014-02-12-15-30-00,66.18164,231.48047,11.923096,29.581822
109,2014-02-13-08-25-00,73.74609,119.85156,5.869995,31.62696671
110,2014-02-13-12-25-00,48.333984,181.51953,11.193115,43.76641207
111,2014-02-13-16-25-00,75.34375,241.83203,16.524414,41.97436091
112,2014-02-14-09-20-00,64.25195,130,10.55957,42.74456001
113,2014-02-14-13-20-00,50.01367,199.1289,16.348145,46.14370151
114,2014-02-14-17-20-00,85.42969,250.80469,17.469727,31.24713736
115,2014-02-15-10-15-00,56.149414,142.35938,11.354492,43.70483317
116,2014-02-15-14-15-00,54.82715,214.97656,18.902832,45.50170637
117,2014-02-16-07-10-00,87.140625,107.21094,0.6674042,1.73212874
118,2014-02-16-11-10-00,50.149414,157.42969,8.243164,15.08193124
119,2014-02-16-15-10-00,62.032227,228.32812,11.019775,20.47176563
120,2014-02-17-07-55-00,78.28125,113.82422,-0.05911064,25.42626773
121,2014-02-17-11-55-00,47.32715,171.625,6.949951,30.90446312
122,2014-02-17-15-55-00,69.13086,237.60547,10.369873,32.93762674
123,2014-02-18-08-40-00,69.85742,121.25195,4.279907,34.71565404
124,2014-02-18-12-40-00,46.82617,186.70703,12.758545,44.10662102
125,2014-02-18-16-40-00,77.00391,245.71094,16.163086,42.83192012
126,2014-02-19-09-25-00,62.078125,129.86328,10.90332,32.06229055
127,2014-02-19-13-30-00,49.104492,202.98828,17.124023,44.2525363
128,2014-02-19-17-30-00,86.38672,253.73438,18.619629,30.7895999
129,2014-02-20-10-15-00,54.592773,141.35156,12.027832,45.9190916
130,2014-02-20-14-15-00,53.333008,216.13672,18.077148,33.59970364
131,2014-02-21-06-55-00,88.96289,103.666016,4.677368,5.088253325
132,2014-02-21-10-55-00,49.757812,152.25,12.425781,39.01486998
133,2014-02-21-14-55-00,58.441406,226.34375,17.419922,23.53190554
134,2014-02-22-07-30-00,81.833984,108.578125,3.6399536,4.150633852
135,2014-02-22-11-30-00,46.666992,163.09375,0.15999985,5.931832039
136,2014-02-22-15-30-00,63.686523,234.21094,-1.683075,-0.320555798
137,2014-02-23-08-05-00,74.896484,113.86914,-8.259766,-7.501932446
138,2014-02-23-12-05-00,44.9209,174.9375,-4.039917,1.395303742
139,2014-02-23-16-05-00,69.49805,241.21484,0.6599884,3.481876373
140,2014-02-24-08-40-00,68.2207,119.708984,3.9473877,8.36016505
141,2014-02-24-12-40-00,44.679688,187.2539,6.3499756,26.2860148
142,2014-02-24-16-40-00,75.73242,247.53906,4.9399414,5.838326823
143,2014-02-25-09-15-00,61.913086,126.296875,4.8499756,29.71472118
144,2014-02-25-13-15-00,45.96582,199.34766,11.369873,39.67356595
145,2014-02-25-17-15-00,82.27539,253.36719,9.97998,15.36687958
146,2014-02-26-09-45-00,56.853516,132.67188,2.2740479,24.78824219
147,2014-02-26-13-45-00,48.14453,209.10547,2.975891,9.315901805
148,2014-02-26-17-45-00,88.0293,258.14062,-0.3999939,-0.330076934
149,2014-02-27-10-15-00,52.26953,139.92188,-4.6899414,-1.883921128
150,2014-02-27-14-15-00,51.222656,218.04297,-1.6019592,0.535235489
151,2014-02-28-10-40-00,48.853516,146.69531,-1.2138367,12.43566856
152,2014-02-28-14-40-00,54.31543,224.86719,2.789978,14.33426332
153,2014-03-01-07-05-00,84.96484,102.9043,2.4399414,2.754271055
154,2014-03-01-11-05-00,45.95703,154.23047,9.309814,39.51334513
155,2014-03-01-15-05-00,57.842773,231.09375,15.959961,33.30418269
156,2014-03-02-08-10-00,72.02344,112.82617,2.6599731,4.323155932
157,2014-03-02-12-10-00,42.20703,176.9414,13.199951,22.50550375
158,2014-03-02-16-10-00,68.84961,244.39844,14.589844,15.81738535
159,2014-03-03-08-30-00,68.00195,116.04297,5.789917,22.19105939
160,2014-03-03-12-30-00,41.868164,184.4414,9.5354,39.15889364
161,2014-03-03-16-30-00,72.38281,248.19922,12.730957,37.10540553
162,2014-03-04-08-50-00,64.07422,119.49219,5.669922,31.7568145
163,2014-03-04-12-50-00,42.07129,191.96875,8.019775,13.56714428
164,2014-03-04-16-50-00,76.02344,251.82031,9.193115,25.84589152
165,2014-03-05-09-00-00,61.995117,121.18945,-0.13999939,30.91094283
166,2014-03-05-13-00-00,42.19336,195.79688,7.2299805,41.1543892
167,2014-03-05-17-00-00,77.7832,253.7461,11.539795,32.98963959
168,2014-03-06-09-10-00,59.941406,122.96484,5.9660645,36.46720537
169,2014-03-06-13-10-00,42.45215,199.60547,11.575439,45.12728139
170,2014-03-06-17-10-00,79.56641,255.64062,14.67627,35.82582857
171,2014-03-07-09-20-00,57.916016,124.828125,7.503296,40.33965581
172,2014-03-07-13-20-00,42.84668,203.36719,14.699951,47.50771726
173,2014-03-07-17-20-00,81.36914,257.5078,14.579834,15.89627356
174,2014-03-08-09-30-00,55.92383,126.78711,10.319824,37.92189308
175,2014-03-08-13-30-00,43.373047,207.0664,18.149902,42.43035495
176,2014-03-08-17-30-00,83.19141,259.35938,16.869629,21.4748129
177,2014-03-09-09-35-00,54.771484,127.677734,11.24292,40.67954114
178,2014-03-09-13-35-00,43.5166,209.03906,15.37085,45.5849287
179,2014-03-09-17-35-00,84.01758,260.45312,15.0998535,17.25280351
180,2014-03-10-09-40-00,53.625,128.59766,10.329834,41.90996506
181,2014-03-10-13-40-00,43.69629,211.00781,16.139648,43.97884961
182,2014-03-10-17-40-00,84.84961,261.54688,16.919922,29.66701093
183,2014-03-11-09-40-00,53.283203,128.34766,12.229736,45.89122057
184,2014-03-11-13-40-00,43.36914,211.33594,18.59961,48.04428458
185,2014-03-11-17-40-00,84.67383,261.89844,17.527344,19.50321869
186,2014-03-12-09-40-00,52.939453,128.09375,13.20166,45.21440694
187,2014-03-12-13-40-00,43.041992,211.66797,19.109863,48.3518631
188,2014-03-12-17-40-00,84.49805,262.26562,16.28955,16.72830675
189,2014-03-13-09-35-00,53.411133,126.6543,14.616455,26.34185315
190,2014-03-13-13-35-00,42.1875,210.33203,17.469727,35.52879119
191,2014-03-13-17-35-00,83.31055,261.89062,14.869873,15.43937706
192,2014-03-14-09-30-00,53.90039,125.234375,12.829834,32.1571922
193,2014-03-14-13-30-00,41.34961,208.95312,15.00293,50.31790459
194,2014-03-14-17-30-00,82.12305,261.51562,17.563477,35.11874686
195,2014-03-15-09-25-00,54.40625,123.833984,12.020752,43.50058732
196,2014-03-15-13-25-00,40.529297,207.52344,16.759766,49.20166703
197,2014-03-15-17-25-00,80.9375,261.1328,18.75,36.26529117
198,2014-03-16-09-15-00,55.79785,121.359375,12.133301,41.01395622
199,2014-03-16-13-15-00,39.29492,204.20703,19.762695,51.73471518
200,2014-03-16-17-15-00,78.74414,260.0078,20.739746,41.28906037
201,2014-03-17-09-00-00,58.140625,117.94336,11.438232,14.37157522
202,2014-03-17-13-00-00,37.817383,198.76562,13.703613,18.43020404
203,2014-03-17-17-00-00,75.55469,258.08594,15.857178,27.65522191
204,2014-03-18-08-45-00,60.57422,114.70508,10.793701,24.63182034
205,2014-03-18-12-45-00,36.61133,192.98047,16.603516,43.13505442
206,2014-03-18-16-45-00,72.38281,256.10156,12.109863,12.56882153
207,2014-03-19-08-30-00,63.08496,111.62305,9.649902,17.55744756
208,2014-03-19-12-30-00,35.703125,186.90234,13.929199,36.79440302
209,2014-03-19-16-30-00,69.234375,254.04688,9.812744,10.51173394
210,2014-03-20-08-10-00,66.63281,107.82031,7.659912,11.81657745
211,2014-03-20-12-10-00,35.125,178.42578,10.409912,21.72091308
212,2014-03-20-16-10-00,65.14258,251.03906,12.72168,42.49338934
213,2014-03-21-07-50-00,70.19531,104.15234,10.509766,33.73132545
214,2014-03-21-11-50-00,35.051758,169.83984,16.97998,49.56963568
215,2014-03-21-15-50-00,61.070312,247.92188,21.00586,49.4244016
216,2014-03-22-07-30-00,73.89844,100.71289,6.449951,23.53631502
217,2014-03-22-11-30-00,35.67383,161.36719,14.019775,50.24858347
218,2014-03-22-15-30-00,57.123047,244.45703,17.279785,22.83732608
219,2014-03-23-07-00-00,79.68555,95.916016,3.079956,15.97346629
220,2014-03-23-11-00-00,37.845703,149.46484,10.949951,42.77400615
221,2014-03-23-15-00-00,51.51367,238.4414,15.289795,50.21427192
222,2014-03-24-06-30-00,85.5293,91.2793,3.2999878,17.21235135
223,2014-03-24-10-30-00,41.070312,138.91016,14.942383,43.6547718
224,2014-03-24-14-30-00,46.248047,231.46484,19.759766,46.03730668
225,2014-03-25-10-00-00,45.11035,129.76172,10.797363,43.3627027
226,2014-03-25-14-00-00,41.464844,223.23828,20.028809,49.36301454
227,2014-03-25-18-00-00,86.3457,270,17.689941,17.92093819
228,2014-03-26-09-30-00,49.754883,121.87695,12.676025,38.01006026
229,2014-03-26-13-30-00,37.35547,213.47266,17.212402,19.97498551
230,2014-03-26-17-30-00,80.05078,266.02344,18.5,30.55700216
231,2014-03-27-08-55-00,55.7666,114.00586,9.681885,15.83993002
232,2014-03-27-12-55-00,33.80078,199.83203,13.20166,23.87082169
233,2014-03-27-16-55-00,72.771484,261.16406,15.219971,18.45982458
234,2014-03-28-08-20-00,62.1709,107.16992,10.28125,37.79763016
