start,end,total points
3200000,3200001, 1000000
500000, 500001, 1000000
28,29,1000000
14,15,1000000
12,13,1000000
879,880,1000000
16,17,1000000
37,38,1000000
10,11,1000000
250000,250001,1000000
18,19,1000000
39,40,1000000
101,102,1000000
66,67,1000000
386,387,1000000
